"Name","IndexHi","IndexLo","Available","DefaultOwned","SfxFile","ScFile","AvailableForOffer","Exclusive","DateAvailable","HumanReadableName","Family"
"string","int","int","boolean","boolean","string","string","boolean","boolean","string","string","string"
"Emote0",1,0,"True","True","sfx/emotes/king_happy_01_dl.ogg","sc/emotes_king_01_dl.sc","False","False","2016-01-01","King Thumbs Up (Starter Emote)","King"
"Emote1",1,1,"True","True","sfx/emotes/king_mad_01_dl.ogg","sc/emotes_king_01_dl.sc","False","False","2016-01-01","Angry King (Starter Emote)","King"
"Emote2",1,2,"True","True","sfx/emotes/king_crying_01_dl.ogg","sc/emotes_king_01_dl.sc","False","False","2016-01-01","Crying King (Starter Emote)","King"
"Emote3",1,3,"True","True","sfx/emotes/king_laughter_01_dl.ogg","sc/emotes_king_01_dl.sc","False","False","2016-01-01","Smiling King (Starter Emote)","King"
"Emote4",2,0,"True","False","sfx/emotes/emotes_goblin_01_01_dl.ogg","sc/emotes_goblin_01_dl.sc","True","False","2018-07-01","Sneezing Goblin","Goblin"
"Emote5",2,1,"True","False","sfx/emotes/emotes_goblin_01_02_dl.ogg","sc/emotes_goblin_01_dl.sc","True","False","2018-07-01","Kissy Goblin","Goblin"
"Emote6",2,2,"True","False","sfx/emotes/emotes_goblin_01_03_dl.ogg","sc/emotes_goblin_01_dl.sc","True","False","2018-07-01","Strong Goblin","Goblin"
"Emote7",2,3,"True","False","sfx/emotes/emotes_goblin_01_04_dl.ogg","sc/emotes_goblin_01_dl.sc","True","False","2018-07-01","Psycho Goblin","Goblin"
"Emote8",3,0,"True","False","sfx/emotes/emotes_goblin_02_01_dl.ogg","sc/emotes_goblin_02_dl.sc","True","False","2018-07-01","Nervous Goblin","Goblin"
"Emote9",3,1,"True","False","sfx/emotes/emotes_goblin_02_02_dl.ogg","sc/emotes_goblin_02_dl.sc","True","False","2018-07-01","Scheming Goblin","Goblin"
"Emote10",3,2,"True","False","sfx/emotes/emotes_goblin_02_03_dl.ogg","sc/emotes_goblin_02_dl.sc","True","False","2018-07-01","Room on Fire Goblin","Goblin"
