"Name","RequiredSets","OptionalSets","UseAllRequired"
"String","String","String","Boolean"
"Draft_old","Draft_AllRandom","Draft_TankUnit",
,"Draft_DamageSpell","Draft_3costUnit",
,"Draft_AntiAir","Draft_4costUnit",
,"Draft_AntiAir2","Draft_5costUnit",
,"Draft_MainAttack","Draft_Aggressive",
,,"Draft_Buildings",
,,"Draft_CheapDudes",
,,"Draft_CoolStuff",
,,"Draft_Legendary",
,,"Draft_CheapCards",
"TEST_Draft_balance_test","TEST_Draft_All_live_cards","Draft_TankUnit",
,"Draft_DamageSpell","Draft_3costUnit",
,"Draft_AntiAir","Draft_4costUnit",
,"Draft_AntiAir2","Draft_5costUnit",
,"Draft_MainAttack","Draft_Aggressive",
,,"Draft_Buildings",
,,"Draft_CheapDudes",
,,"Draft_CoolStuff",
,,"Draft_Legendary",
,,"Draft_CheapCards",
"TEST_Draft_new_cards_test","TEST_Draft_New_cards","Draft_TankUnit",
,"Draft_DamageSpell","Draft_3costUnit",
,"Draft_AntiAir","Draft_4costUnit",
,"Draft_AntiAir2","Draft_5costUnit",
,"Draft_MainAttack","Draft_Aggressive",
,,"Draft_Buildings",
,,"Draft_CheapDudes",
,,"Draft_CoolStuff",
,,"Draft_Legendary",
,,"Draft_CheapCards",
"TEST_Draft_new_cards_daily_test","TEST_Draft_New_cards_daily","Draft_TankUnit",
,"Draft_DamageSpell","Draft_3costUnit",
,"Draft_AntiAir","Draft_4costUnit",
,"Draft_AntiAir2","Draft_5costUnit",
,"Draft_MainAttack","Draft_Aggressive",
,,"Draft_Buildings",
,,"Draft_CheapDudes",
,,"Draft_CoolStuff",
,,"Draft_Legendary",
,,"Draft_CheapCards",
"Draft_Touchdown_v1","Draft_TD_FastRunners","Draft_TD_Buildings",
,"Draft_TD_BigRunners","Draft_TD_DamageSpells",
,"Draft_TD_AntiAir","Draft_TD_AntiAir",
,"Draft_TD_Melee","Draft_TD_CheapDudes",
,"Draft_TD_Buildings",,
,"Draft_TD_DamageSpells",,
"Draft_H_v1","Draft_H_any",,
,"Draft_H_any",,
,"Draft_H_any",,
,"Draft_H_any",,
,"Draft_H_any",,
,"Draft_H_any",,
,"Draft_H_any",,
,"Draft_H_any",,
"Draft_v1_dec_card_release","Draft_DecNewCards","Draft_TankUnit",
,"Draft_AllRandom","Draft_3costUnit",
,"Draft_DamageSpell","Draft_4costUnit",
,"Draft_AntiAir","Draft_5costUnit",
,"Draft_AntiAir2","Draft_Aggressive",
,"Draft_MainAttack","Draft_Buildings",
,,"Draft_CheapDudes",
,,"Draft_CoolStuff",
,,"Draft_Legendary",
,,"Draft_CheapCards",
"Draft_v1","Draft_RH_TankUnit","Draft_RH_Investment",
,"Draft_RH_AntiAir","Draft_RH_Punish",
,"Draft_RH_Distractions","Draft_RH_HitTower",
,"Draft_RH_DirectDamage","Draft_RH_VersatileLegs",
,"Draft_RH_WinCons","Draft_RH_TankSupport",
,,"Draft_RH_AntiTank",
,,"Draft_RH_2ndSpell",
,,"Draft_RH_Splash",
,,"Draft_RH_MiniTank",
,,"Draft_RH_Basic3s",
,,"Draft_RH_CycleUnder3",
,,"Draft_RH_CheapAntiAir",
"Draft_SnowHogs","Draft_RH_TankUnit","Draft_RH_Investment",
,"Draft_RH_AntiAir","Draft_RH_HitTower",
,"Draft_RH_CycleUnder3","Draft_RH_CombatTricks",
,"Draft_RH_DirectDamage","Draft_RH_VersatileLegs",
,"Draft_RH_Punish","Draft_RH_TankSupport",
,,"Draft_RH_AntiTank",
,,"Draft_RH_Distractions",
,,"Draft_RH_Splash",
,,"Draft_RH_MiniTank",
,,"Draft_RH_WinCons",
,,"Draft_RH_Basic3s",
,,"Draft_RH_2ndSpell",
"Draft_Level5to8","Draft_58_Tank",,
,"Draft_58_Spell",,
,"Draft_58_AntiAir",,
,"Draft_58_Distractions",,
,"Draft_58_AntiTank",,
,"Draft_58_Buildings",,
,"Draft_58_WinCons",,
,"Draft_58_Splash",,
"Draft_NewCardsTest","Draft_TEST_TankUnit","Draft_TEST_Investment",
,"Draft_TEST_AntiAir","Draft_TEST_Punish",
,"Draft_TEST_Distractions","Draft_TEST_HitTower",
,"Draft_TEST_DirectDamage","Draft_TEST_CombatTricks",
,"Draft_TEST_WinCons","Draft_TEST_VersatileLegs",
,,"Draft_TEST_TankSupport",
,,"Draft_TEST_AntiTank",
,,"Draft_TEST_2ndSpell",
,,"Draft_TEST_Splash",
,,"Draft_TEST_MiniTank",
,,"Draft_TEST_Basic3s",
,,"Draft_TEST_CycleUnder3",
,,"Draft_TEST_CheapAntiAir",
"Draft_Promo","Draft_RH_TankUnit","Draft_RH_Punish",
,"Draft_Promo","Draft_Promo_HitTower",
,"Draft_RH_Distractions","Draft_RH_CombatTricks",
,"Draft_RH_DirectDamage","Draft_Promo_VersatileLegs",
,"Draft_RH_WinCons","Draft_Promo_TankSupport",
,,"Draft_Promo_AntiTank",
,,"Draft_RH_2ndSpell",
,,"Draft_Promo_Splash",
,,"Draft_RH_MiniTank",
,,"Draft_RH_Basic3s",
,,"Draft_RH_CycleUnder3",
,,"Draft_Promo_CheapAntiAir",
"Draft_2017","Draft_2017_TankUnit","Draft_2017_Investment",
,"Draft_2017_AntiAir","Draft_2017_Punish",
,"Draft_2017_Distractions","Draft_2017_VersatileLegs",
,"Draft_2017_DirectDamage","Draft_2017_TankSupport",
,"Draft_2017_AntiTank","Draft_2017_2ndSpell",
,"Draft_2017_WinCons","Draft_2017_Splash",
,,"Draft_2017_MiniTank",
,,"Draft_2017_Basic3s",
,,"Draft_2017_CycleUnder3",
,,"Draft_2017_CheapAntiAir",
"Draft_TestSpellSupport",,,
"Draft_Competitive","Draft_Comp_WinCon","Draft_Comp_TankSupport",
,"Draft_Comp_SmallSpell","Draft_Comp_AntiTank",
,"Draft_Comp_BigSpell","Draft_Comp_MiniTank",
,"Draft_Comp_AntiAir","Draft_Comp_Distractions",
,"Draft_Comp_CheapAntiAir",,
