Name,Crowns,Premium,Amount,Spell,SpellAlt,Resource,Chest,EmoteIDHigh,EmoteIDLow,RandomSpell,Token,FeaturedDraft,SkinSet,Strike,UnlockedOnDay,Tier,BonusEmoteIDHigh,BonusEmoteIDLow,BonusGems,BonusTowerSkin
String,int,boolean,int,string,string,string,string,int,int,string,string,boolean,int,boolean,int,int,int,int,int,int
Pro_Basic,0,TRUE,,,,,,,,,,,,,0,0,,,,
,0,,1000,,,Gold,,,,,,,,,,0,,,,
,10,TRUE,,,,,,10,0,,,,,,0,0,,,,
,10,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,20,TRUE,2000,,,Gold,,,,,,,,,1,0,,,,
,20,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,30,TRUE,,,,,SeasonPass_Pro_T1,,,,,,,,2,0,,,,
,30,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,40,TRUE,1,,,,,,,,,,,TRUE,3,0,,,,
,40,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,50,TRUE,,,,,SeasonPass_Pro_T3,,,,,,,,4,0,,,,
,50,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,60,TRUE,2000,,,Gold,,,,,,,,,5,0,,,,
,60,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,70,TRUE,,,,,SeasonPass_Pro_T1,,,,,,,,5,0,,,,
,70,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,80,TRUE,1,,,,,,,,,,,TRUE,6,0,,,,
,80,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,90,TRUE,1,,,,,,,,Common,,,,6,0,,,,
,90,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,100,TRUE,,,,,SeasonPass_Pro_T2,,,,,,,,7,1,,,,
,100,,,,,,Star_<current_arena>,,,,,,,,,1,,,,
,110,TRUE,1,,,,,,,,,,,TRUE,8,1,,,,
,110,,,,,,Star_<current_arena>,,,,,,,,,1,,,,
,120,TRUE,,,,,SeasonPass_Pro_T1,,,,,,,,9,1,,,,
,120,,,,,,Star_<current_arena>,,,,,,,,,1,,,,
,130,TRUE,3000,,,Gold,,,,,,,,,10,1,,,,
,130,,,,,,Star_<current_arena>,,,,,,,,,1,,,,
,140,TRUE,1,,,,,,,,Rare,,,,11,1,,,,
,140,,,,,,Star_<current_arena>,,,,,,,,,1,,,,
,150,TRUE,,,,,SeasonPass_Pro_T3,,,,,,,,12,1,,,,
,150,,,,,,Star_<current_arena>,,,,,,,,,1,,,,
,160,TRUE,3000,,,Gold,,,,,,,,,12,1,,,,
,160,,,,,,Star_<current_arena>,,,,,,,,,1,,,,
,170,TRUE,,,,,SeasonPass_Pro_T1,,,,,,,,13,1,,,,
,170,,,,,,Star_<current_arena>,,,,,,,,,1,,,,
,180,TRUE,1,,,,,,,,,,,TRUE,13,1,,,,
,180,,,,,,Star_<current_arena>,,,,,,,,,1,,,,
,190,TRUE,5000,,,Gold,,,,,,,,,14,1,,,,
,190,,,,,,Star_<current_arena>,,,,,,,,,1,,,,
,200,TRUE,,,,,SeasonPass_Pro_T2,,,,,,,,15,2,,,,
,200,,,,,,Star_<current_arena>,,,,,,,,,2,,,,
,210,TRUE,1,,,,,,,,Epic,,,,16,2,,,,
,210,,,,,,Star_<current_arena>,,,,,,,,,2,,,,
,220,TRUE,,,,,SeasonPass_Pro_T1,,,,,,,,17,2,,,,
,220,,,,,,Star_<current_arena>,,,,,,,,,2,,,,
,230,TRUE,1,,,,,,,,,,,TRUE,18,2,,,,
,230,,,,,,Star_<current_arena>,,,,,,,,,2,,,,
,240,TRUE,5000,,,Gold,,,,,,,,,19,2,,,,
,240,,,,,,Star_<current_arena>,,,,,,,,,2,,,,
,250,TRUE,,,,,SeasonPass_Pro_T3,,,,,,,,19,2,,,,
,250,,,,,,Star_<current_arena>,,,,,,,,,2,,,,
,260,TRUE,,,,,SeasonPass_Pro_T1,,,,,,,,20,2,,,,
,260,,,,,,Star_<current_arena>,,,,,,,,,2,,,,
,270,TRUE,5000,,,Gold,,,,,,,,,20,2,,,,
,270,,,,,,Star_<current_arena>,,,,,,,,,2,,,,
,280,TRUE,1,,,,,,,,,,,TRUE,21,2,,,,
,280,,,,,,Star_<current_arena>,,,,,,,,,2,,,,
,290,TRUE,,,,,SeasonPass_Pro_T2,,,,,,,,22,2,,,,
,290,,,,,,Star_<current_arena>,,,,,,,,,2,,,,
,300,TRUE,,,,,,,,,,,2,,23,3,,,,
,300,,,,,,Star_<current_arena>,,,,,,,,,3,,,,
,310,TRUE,5000,,,Gold,,,,,,,,,24,3,,,,
,310,,,,,,Star_<current_arena>,,,,,,,,,3,,,,
,320,TRUE,,,,,SeasonPass_Pro_T3,,,,,,,,25,3,,,,
,320,,,,,,Star_<current_arena>,,,,,,,,,3,,,,
,330,TRUE,1,,,,,,,,Legendary,,,,26,3,,,,
,330,,,,,,Star_<current_arena>,,,,,,,,,3,,,,
,340,TRUE,10000,,,Gold,,,,,,,,,26,3,,,,
,340,,,,,,Star_<current_arena>,,,,,,,,,3,,,,
,350,TRUE,,,,,SeasonPass_Pro_T4,,,,,,,,26,3,,,,
,350,,,,,,SeasonPass_Pro_T4,,,,,,,,,3,,,,
Pro_Rares,0,TRUE,,,,,,,,,,,,,0,0,,,,
,0,,1000,,,Gold,,,,,,,,,,0,,,,
,10,TRUE,1000,,,Gold,,,,,,,,,0,0,,,,
,10,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,20,TRUE,,,,,SeasonPass_Pro_T1,,,,,,,,1,0,,,,
,20,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,30,TRUE,1,,,,,,,,,,,TRUE,2,0,,,,
,30,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,40,TRUE,,,,,SeasonPass_Pro_T3,,,,,,,,3,0,,,,
,40,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,50,TRUE,,,,,,10,0,,,,,,4,0,,,,
,50,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,60,TRUE,1000,,,Gold,,,,,,,,,5,0,,,,
,60,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,70,TRUE,,,,,SeasonPass_Pro_T2,,,,,,,,5,0,,,,
,70,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,80,TRUE,1,,,,,,,,,,,TRUE,6,0,,,,
,80,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,90,TRUE,1,,,,,,,,Rare,,,,6,0,,,,
,90,,,,,,Star_<current_arena>,,,,,,,,,0,,,,
,100,TRUE,,,,,SeasonPass_Pro_T1,,,,,,,,7,1,,,,
